,summary,review_id,bank_id,bank_name,user_id,rating,review,date_posted
10,No fees/ Free Checking!,17806,20042,Georgia's Own Credit Union,18917,4,"I used to do business with a large bank chain, but was getting charged for my checking accounts. A little here and there, but it all adds up. I switched to Georgia's Own Credit Union and have never been charged for anything. The staff are always helpful and friendly when I have to visit a branch. There are multiple branches around town that can be of convenience to everyone. The only downside of it being a credit union is there is a drive through branch that you can go to to withdraw or deposit money after hours. You can only go when they are actually open and you have to go inside to visit one of the tellers. I've never had any problems with my banking. I can call 24/7 with questions or concerns or send a message through the customer website. The company if very efficient in getting back to me in a timely manner.",2014-09-06
11,Loan Application,15256,20042,Georgia's Own Credit Union,14480,1,"I suppose you never know if you have a good bank or not till the time you need them. Applying for a loan online I discovered is not the best way of doing it. Messages appear ""need more info"" on online application and that is it. After several responses from my side to provide ""info"" no response from the institution. At the end my application was denied, not giving me the chance to provide more information. I will not encourage anybody in using the online options. I'm plain disappointed in Georgia's Own.",2013-09-23
12,Bank Of America Online Billpay SUCKS,39424,772,Bank of America,64264,1,"On September 30, an online bill pay was scheduled for my daughter’s preschool. Unfortunately, the payment was sent to the wrong address. I contacted Bank of America, and changed the address & asked them to reissue another check. Sadly, the change was never updated and an additional check was issued to another wrong address. After communicating with the preschool, two weeks later, the checks had still not arrived. Another check was issued, this time with the correct address, but it was expected to arrive a month after the payment due date. I requested another check be mailed using overnight service & a refund of a $50 late fee was issued by the bank, since the preschool was no longer patiently waiting for their payment. The check arrived the following day, so I thought my concerns with Bank of America were resolved. Unfortunately, a week later, my online bill pay account experienced some dramatic failures. I have alerts set up on my account, to be sent to the same email address that has been active on my account since I opened it 15 years ago. The alerts are for when money is transferred into my account & when my account is overdrawn. I did not receive any of those alerts to my email. This is the first time this has ever happened. I was charged $70 for overdrawn items. After contacting Bank of America and speaking with two supervisors, they were only willing to refund one overdrawn fee, despite making false statements about the accuracy of my email address and the accuracy of the alerts set up on the accounts. They claimed that alerts that had been set up on my account for many years were not active, despite receiving one through my mobile app the morning of the dispute. I’m concerned that the overall accuracy of my account has been compromised. There unwillingness to refund the charges, when obviously strange and unaccounted for discrepancies happened, is not only disappointing and upsetting, but the lack of accountability from Bank of America is shameful. I was charged late fees for discrepancies solely related to bank errors. They claim that since the bills were paid in full, with no late fees (this time) that they were not willing to issue any further refunds. I have been a customer for 15 years, never had any issues as dramatic and upsetting as this & the lack of customer support is disgusting. I hope my experience can be used as a learning tool for other customers. TAKE YOUR MONEY TO A DIFFERENT BANK!",2019-11-02
13,"Good Bank, Terrible Interest On Basic Savings",37938,772,Bank of America,60430,4,"I've had my account with them since 2009 with no problems at all. Their basic savings account pays one penny per month in interest, and you have to maintain it at $500 per month, or you get charged a fee. I kept BofA for my basic checking, and switched to Vio for savings. It seems to be a really good fit for me so far.",2019-07-04
14,Bank Of America Worst Bank,37901,772,Bank of America,60343,1,"Why would anyone waste their money opening up a checking account with Bank of America when Capital One is free and even pays you interest. I opened up an account only because of the cashback bonus in which I met all the qualifications and they decided not to pay I spent hours on the phone and in the bank on this issue and it was not resolved correctly, this is a horrible Bank do not waste your time and money.",2019-07-02
15,BANK OF AMERICA CLOSED ACCOUNTS,37858,772,Bank of America,60244,1,"I never like bank of America, but when I went back to work for a old employer I decided to open one up online I then got approved, 5days before I was to receive my 1st check they closed the account and didn't explain why ,when I called to ask if there any way they can re open it and I'll pay the fee just to get my money they said no they couldn't do that now I have to wait 7days and other 10 from my employer to issue a check my Bill's will be late and I'm be late in my rent due to bank of America this is a worse bank to bank with no wonder they are high risk",2019-06-28
16,Wrongful Banking To Elderly People,37400,772,Bank of America,59116,1,"Bank of America shut Joe Woodruff Bank account down after 28 years without any warning.. They close it the day his S. S. I. Came. Bank of America stated that they mailed it on may 5,2019 he still hasn't received it. They sent it to the wrong address and they had the right address. Banks of America also stated that if they stop payment on it it will be 91days before he will receive the new print out check. Bank of America is rude and down right disrespectful to the elderly people. What ever you do don't bank with BANK OF AMERICA AT ALL.",2019-05-23
17,"Restricted Card, Hung Up On Hold",37329,772,Bank of America,59007,1,"So, my chip got damaged as it usually does. I order a new card, and while I wait I’m forced to withdraw cash for things. Well, BoA thinks that’s odd and puts a hold on my card. No worries, a text comes through letting me confirm I am indeed me. Only, the holds still there. So i call, and the first specialist after a fifteen minute wait can’t do anything and transfers me to a department that can. Okay. After another ten minute wait, the phone just hangs up. They hung up on me, on hold, stranded, unable to pay for anything like gas, etc etc. I called back only I’ve lost my spot in the queue.",2019-05-19
18,Hope You Like Fees,36998,772,Bank of America,57962,1,"My account had money in it when I left for deployment. When I got back, they had drained all my money and kept taking until my account was negative $400. Now they are suing me for $500. Thanks.",2019-04-17
19,Awful Check Deposit Policy And Customer Service,36901,772,Bank of America,57621,1,"Bank of America is the worst bank I have ever banked with. Their policy on check Cashing is awful. Every time I have deposited a check it is put on hold for 3+ days. Even if it is from a company that uses Bank of America. You can call them multiple times and they still won’t release the hold saying it’s a system process they can’t do anything about. Then if in those three days a charge comes through they charge you a NSF charge even though they are holding a $3,000+ check. Awful awful awful customer service. And god forbid you use their app to deposit it. They don’t even give you $200 available that they would give you if you go in to the store. When I called they said they can’t trust the account the check was written from has funds... the account is from a corporation that uses their bank and is a million dollar corporation..... Do not bank with them if you ever plan on depositing a check with them. This is just the last of many frustrating situations I have had with them. I am closing this account once they finally release the hold.",2019-04-07
20,HSA Accounts,36323,772,Bank of America,54822,3,"Two years ago I went into my local BA branch to open a HSA account for my wife. They advertised HSA accounts online but I couldn't accomplish a transaction, so I went to the branch a few miles away where I maintained a corporate account. (THAT's a whole other story of abuse I won't recount here.). At the branch, after staff making a phone call, they told me BA had discontinued opening any new HSA accounts earlier that year. I suggested they delete the HSA service from their advertisements and web site. (To no avail since I note in the summary above they still reference HSA accounts.) I ended up setting her HSA up with an on line account using another bank specializing in HSA accounts. So, their advertising on HSA accounts is false. don't waste your time trying to deal with BA on HSA accounts or any banking issues that are out of the normal daily routine. Between their odd banking policies and uninformed staff, they can't offer personalized banking. You get the corporate template of banking services, B of A style.",2019-02-03
21,Leaving B Of A,36005,772,Bank of America,55103,1,I find there service poor and the rates low. I am searching for another bank.,2019-01-01
22,Hellish Nightmare. The Absolute Worst!,35801,772,Bank of America,54537,1,"First they were eating up my checking account with fees because I went slightly below $1500 and my ATM card took 3 mo to arrive after I opened the account. So I switched to a Savings account which prevents me from being able to use my debit card for anything other than cash withdrawals. Then my teenaged son was going to Columbia alone and I needed a way to transfer him money so he would to be able to get small amounts of cash out while he was there, so foolishly, we got him two accounts. We spent an hour with a lovely person at the bank, explaining the situation, showing her all our documents, my account etc. I get home to find out that I CANNOT transfer money from my account to his at all. I spend 30 min a day for a week trying to get this sorted out before I have to go to Europe where I won’t have phone or wifi. I spend most of that time in voice-jail because there are no options to speak to a human. All my attempts to transfer get put on some bs fraud-alert hold, even when I do them with BofA staff on the line. Now with hours left before my flight and my teen about to have insufficient travel funds during my absence, I am losing my mind spending 2.5 hours on the phone trying to get something sorted instead of packing. During this same time I had sent a $2000 cheque from another bank and waited 4 weeks for it to get posted! Now they have sent a demand to see his Social Security card again and are threatening to suspend his account if he doesnt find some way receive, sign and return some form in the next six days. They do not seem to comprehend there is no Fedex service in the jungle and they are threatening an 18 year old boy with being unable to eat or even get to the airport to return home by cutting off his funds. BofA is famous for being greedy, fee-gobblers and they along with Wells Fargo are both reputed as the worst among US banks but torturing clients with bureacracy and threatening/stressing out this child is a whole new level of evil. SHAME ON the management and policies. The app would be awesome if it allowed me to actually do a transfer. The people at my branch are nice but seem to have no ability to help customers when problems arise.",2018-12-01
23,Awful Bank Due To Horrible Regulations,34598,772,Bank of America,52084,1,"My husband and me just got married this past week-end. We deposited our checks and they are holding a bank check till August 1st when they said we could haev cashed it and had the funds right away vs waiting for the deposit to clear. This was the last straw so we are leaving the bank with our familes...Bank of america lost a lot of money and we have had nothing but troubles with them not keeping track of accounts. We have had several incidents where Money was overdrafted due to processing then fixed and having to fight them for their automated crap. Due to them not giving money on direct deposits from Amazon for a day or so we would wind up missing bills. They would tell us we could do nothing but wait for them to resolve disputed charges where some reason it was rang up twice for food. We would pay a 5 dollar safe checking fee on my account not my husbands to never have to worry about overdrafts and they would still do overdrafts. We called on multiple days, sat with several physical Tellers, managers, and supervisors, and even made them get on a three way merge call with my grandmother's bank for the current check having issues through them which is one of those checks you have to buy with money and is considered cash. It is very dissatisfying that our honeymoon was cut short due to the bank being unjust and not resolving or being able to verify over the phone when they had all these simple solutions they should have been able to do without their clunky software and locks. We did talk to several other banks who said that they can do that since each bank has its own policies but most banks would have had the money resolved since its been technically 4 days now. Due to all these issues we decided to pull our money and go to an alternative bank. Our families are doing the same which means they lost way more money then they anticipated. <br/><br/>Please note if these regulations and computer systems they had in place were not 1s and 0s like black vs white answers then it would be a whole lot better but due to them not having one person be able to resolve issues without having to hold stuff forever or take a week to correct what the bank really has due to processing transactions. I swear they only update on a specific few days a week so your checking account is never accurate.<br/><br/>On a positive note the application process is not bad and I didn't have much issues when i got my gender change with them changing the info and changing account types. They do try to keep you safe and lock accounts for activity that feels different from what they usually see but its all mostly automated. Sucks when you need to wait an hour for it to unlock again due to the fact that it autolocked from buying from a different store, site, or in a different state than it is usually active. Other than that and easy access to an overly placed atm everywhere from being such a huge company It really feels not worth it.",2018-07-25
24,Vampires The Whole Bank. Awful.,34090,772,Bank of America,51157,1,I’ve been with them since 2009. Worst bank ever. They just want to suck you dry with unfair fees and stupid rules that make up for fun. Will never bank with them again and discourage everyone I know to ditch them and not use them.,2018-06-05
25,Horrible Experience Banking,33884,772,Bank of America,50734,1,"Bank of America is the worse , they are liars, deceivers and can careless for their customers. They only look forward to the profit and money they gain. I have gone TWICE to the Bank of America in Brooklyn to retrieve my money from my saving account after closing the account with them. I closed the account because they charged an overdraft fee which I acknowledge. It was not an error, it was taken , I made sure I called them to explain that I had the money in another account but if I would have gotten an alert of the account being in negative at the moment I would have transferred money and the overdraft would not have happened.",2018-05-23
26,One of Many Banks,33788,772,Bank of America,50586,3,"I opened an account with Bank of America when I was 18 and just stayed with them since. Since the start of my account, I opened two credit cards with them and are satisfied with both. Their mobile app is simple to use and a very clean design. I never had a problem with their customer service. Besides Bank of America, I also hold accounts under other financial institutes. But Bank of America still remains as my main financial institute.",2018-05-17
27,Bank of America,33087,772,Bank of America,50096,4,"I've been using Bank of America for about a year now. I feel they're just like any other bank. They hold our money, it's seemingly pretty simple. I like using their app, it's easy and smooth. Their customer service is okay, but those wait times are normally pretty ridiculous.",2018-05-08
28,A good bank to bank with,33002,772,Bank of America,49968,3,Bank of america services are very good. Bank of America has a basic checking account and one that bears a minimal amount of interest.The internet banking offered by bank of america is easy to use. The user interface of the website is good and easy to use.The transfer of money from bank of america to another bank is made easy with it's internet banking . Though there are lot of options in it's internet banking that confused traditional users they are worth it,2018-04-30
29,Long time customer,32984,772,Bank of America,49949,5,"I have had a checking account since 1976 with this bank.This bank has been my fnancial lifeblood,The checking account is great,I do most of my paying bills online using Bank of America's websit,I have never experienced any problems at with with the checking account.I have opened 2 credit cards both more than 15 years ago.One is a Visa cash back card with a good rate and a high balance limit of$19,500 on the visa car,Themastercard ha a $10,000 limit.The bank does a good job with fraud protection,One time about 12 years ago they caught a fraudulent charge,closed the card immediately and sent me a new card,Customer service has always been excellent,New cards are easy to activate online,The ATM's always work with no problems I hgjlu recommend this bank.",2018-04-28
30,Great Bank,32955,772,Bank of America,49914,4,"I had a great experience setting up a checking account with Bank of America. They have had excellent customer service. I had a lot of questions regarding how to set up an account and the details of the account such as a minimum balance. I also had questions about a minimum opening account amount. I wanted my paycheck to be direct deposited, so I had questions. I had a lot of questions They were able to answer them honestly and answer a few questions that I did not think about. The agent was so patient with me. They were able to set me up with a checking account with very little trouble on my part. They issued me a debit / ATM card. I received this card in the mail in a reasonable time period. I use this account everyday without any problems. I will be banking with them from now on. Thank you",2018-04-27
31,Not the best but not the worst,32912,772,Bank of America,49874,3,"For several years, I had my checking and savings account with Bank of America. It's an okay bank. It's not the best, but it's not the worst either. Customer service is usually fine, it really depends on who you get. Some are great, some are not. I remember one manager telling me that I had to have a ""consular"" ID, when my country does not even have consular ID's. The manager swore they did. Perhaps he was confused with another country. He was super rude to me. That was the last straw for me. I closed my account and went to another bank that has much better service, and ATM's everywhere. <br/>Another thing is that Bank of America has very few ATM's so you will find yourself having to withdraw money at other banks, which will cost you a lot in fees.",2018-04-23
32,"Good ideas, poor customer follow thru",32838,772,Bank of America,49799,3,"When we first started using Bank of America we loved them. Their website was great, very user friendly and easy to navigate. And honestly if we could have used Bank of America without having to use tellers, we might have kept our accounts with them. Every time we went in to make a deposit or withdrawal they would ask us if we wanted to sign up for a credit card or upgrade our account or something else every time! And we would kindly decline every time. And 2 weeks later it was the same story. Can you just put a note in our account that we're not interested??? No, they didn't. Every time we went we were asked over and over again. We liked the rates we had with our savings and checking accounts. We also liked how great it was that they had locations everywhere. We had a branch close to our home and all over the city that we lived close to, so it was always accessible if we needed it. As well as when we would travel to visit other family or go on vacations, but those darn questions every time were enough to drive me crazy. I finally switched banks and I've never been pestered with questions again.",2018-04-14
33,Bank of America is so much better than my old bank,32834,772,Bank of America,49795,4,I switched to Bank of America from a regional bank. The regional bank was really nice but unable to offer the ease of banking that Bank of America can. The website experience of Bank of America is absolutely incredible. It is very smooth and the amount that you can handle just on the mobile app is amazing. Signing up for my checking and savings accounts in a Bank of America branch was very painless. The customer service that I received from the employee was very good. She actually called and checked on what I thought of my banking service a few weeks later. I also really like the number of branches that are seemingly everywhere. I would oftentimes have difficulty banking with my old bank because they weren't located around where I was attending college. Bank of America does not have that problem.,2018-04-14
34,Fine for a big corporate bank,32692,772,Bank of America,49475,3,"Bank of America is just ok. I like that they have ATMs everywhere; I also use BECU and it's harder to find a BECU ATM. Bank of America has charged me outrageous overdraft fees in the past, but now overdraft protection is linked to my credit card, which is a lower fee ($10 compared to $35). I've been banking with them since I was 16 and haven't closed my checking account because of comfort and familiarity I suppose. My main complaint with BOA is that a few years ago, I needed a new debit card for my account that I'd had for more than ten years and was told that I had hit a ""lifetime card replacement maximum"" and would need to close the account and open a new one, which is what I did. Turns out that this was probably a tactic so this teller could reach their new account quota because no one else has ever heard of this lifetime card maximum. I felt used and angry.",2018-04-09
35,Effective Banking,32653,772,Bank of America,49436,4,"I have been a Bank of America customer for over 12 years. I have checking, savings, and a credit card through them. What I like most about them is the convenience. Specifically their website. I pay off my credit card by just transferring money from my checking into my credit card. It is a simple click of the button. I get alerts when my accounts are low, when my card is used, or when a bill is due. It is so very convenient. The downside to Bank of America is the fees. You must know how much money you need to keep in each type of account, or else you will get fees at the end of the month. Another problem is the low interest rates on the savings account. However, the convenience factor more than makes up for this. I hope this review is helpful to anyone considering using Bank of America. Thank you!",2018-04-05
36,Frustrating fees,32449,772,Bank of America,49070,4,"I have been with Bank of America for many years. I first got an account right out of college because they had a promotion for newly graduated students. Since then I have been reasonably happy with this banking institution. The best thing about it is that it is a national bank, so I'm never lacking for a nearby branch. The promotion for my checking account expired a few years after I opened it, and I was switched to a regular checking account. It is fine, though I do have a monthly fee now, which is frustrating. I'm honestly thinking about moving to a credit union in order to bypass this monthly fee, even though it could potentially mean scarcer branch locations. I'm still chewing on that, but I'm sure eventually I'll move on.",2018-03-20
37,Highly Recommend,32443,772,Bank of America,49064,4,"I have banked with Bank of America for over 10 years now. I would highly recommend them to friends and family. I have a regular savings and checking account, and had a money market account until it was switched over. The best thing about Bank of America is the convenience. At any time of day I can transfer funds from one account to another. I can pay bills automatically online and never have to write out checks or pay manually. The interest rates are not great, but the convenience is the most important thing to me.",2018-03-19
38,Not told the right infomation,32441,772,Bank of America,49062,4,"When I first opened my checking account four years ago I was told about the fee, but was given the wrong information. I wouldn't be charged the fee if I was using the online service. The first couple months I wasn't charged the fee because I had over thousand dollars in my account which is one of the thing you have to have not to be charged the $12 monthly fee. I was going to the store to pay diapers for my son and I checked the bank. They had taken the $12 fee for the first time. Because of this I couldn't go right then to buy the diapers because my account was short what I need. I called the bank to figure out what was going on. They explain that I was charged the fee because I didn't meet the monthly requirements not too. I explained that I was told that if I had the online account I would not be charged that fee. I was then told that I was wrong and that they were sorry. I broke into tears telling them that because they took that money I was unable to buy my son diapers. They gave me back the money that time, but informed me that it would come out again next month.",2018-03-19
39,Bank of America,32408,772,Bank of America,48932,3,"Banking at Bank of America has been a pretty good experience for the most part. They were the first banking institution that I opened a checking account with. I was soon offered a credit card within a relatively short period of time. Customer service has always been very nice and helpful. I do believe that for the majority of my time banking with them, their site has been a little difficult to use. The design was a bit cluttered and complicated. I do believe that they've since updated to a more simple and user friendly design. I also had an issue with overdraft fees due to fraudulent transactions made on my account. The issues were later resolved but the fact that such large amounts were consecutively taken from my account when no money was left to use did make me worry.",2018-03-19
40,Amazed at the ATM,32377,772,Bank of America,48901,5,"My Bank of America account continues to impress me. The online banking is really convenient and easy to use. I like that I can deposit checks at home by taking pictures of the check. What really impressed me was depositing cash at an ATM for the first time. I just stuck a stack of money in the slot and the ATM counted the money extremely fast and accurate. I wonder how they got a machine to do that? Bank of America has excellent identity theft measure too that are automatic. If I am out of my usual spending area, they send me a message asking if I am still in possession of my card.",2018-03-16
41,Online banking has been a dream for me!,32357,772,Bank of America,48861,5,"Online banking with Bank of America has been an absolute lifesaver for me! It has saved me so much time and trips to the bank I am unable to even count. I frequently have checks to deposit, and you are now able to do this from online or your mobile device. You can literally just snap a picture of the check image and it will be verified and posted to your account. You also have the option to easily add a company or person to your billpay account and pay electronically or via check. I have not had to physically write a check in over 2 years thanks to this service. I am also able to easily transfer money between my accounts with Bank of America, including my savings! I also am able to easily send money to children. Would highly recommend!",2018-03-15
42,"Bank of America online, is OK",32295,772,Bank of America,48734,3,"For the longest time, I had serious troubles with the mobile version of the app. There are really annoying situations that require changing your password over and over. The account security is redundant. Also, it is really difficult to send money between accounts, especially on the mobile version, making it to where I had to go to the physical bank to pay my credit card bill. Super annoying app, and I don't think they're ever going to fix it.",2018-03-12
43,"Decent enough, lots of branches",32289,772,Bank of America,48728,4,"The best thing about Bank of America is how many locations. Wherever I am, it has always been easy to find an ATM or a branch if I need help. However, the fees on the new checking accounts are not great. It's possible to get better rates and lower fees at the local credit unions.",2018-03-11
44,Online Banking,32286,772,Bank of America,48725,4,"I've used Bank of America for over 10 years and they have added the online banking feature. I use this to check all my checking and savings. If I never need any help, I can use the online chat, which is very helpful if I'm at a place where I can't chat on the phone. They are usually very responsive and helpful. I've never had an issue with them. For example, if I need to dispute a charge, I can do it online and it gets resolved very quickly.",2018-03-11
45,poor banking experience,32116,772,Bank of America,48403,1,"Bank of America has outrageous fees, including overdraft, monthly maintenance, and ATM. overall I will be switching banks in near future. although bank of America customer service is great, i'd still rank the bank at 6. below my expectation.",2018-03-08
46,"Not bad, Not Great",32102,772,Bank of America,48389,3,"I first switched to Bank of America checking when Washington Mutual was bought out by Chase and its free checking was killed off. Bank of America had a free checking in the form of eChecking account. This lasted a while and was functional until Bank of America killed it off only keeping it free and without fees with the usual minimum balance of direct deposit. While I was able to avoid fees, its the principle of the matter so for a time I considered Bank of America good but not its becoming more and more greedy. Its website and general features are fairly functional. Its the only Bank i know of that has a App for Windows 10 devices allowing me to use my laptop and its camera to deposit a check versus a phone.",2018-03-07
47,Good Experience,32023,772,Bank of America,48300,4,"In general, I've had a good experience with this bank. I've had an account here for over 3 years. When opening up a new account, customer service workers were clear, personable and accommodating; the transaction was completed by a representative a matter of a half hour. I also appreciate the convenient online features provided by this bank, such as mobile deposits and electronic money transfers, which have saved me a lot of time (for instance, I pay rent electronically every month directly from my checking account). I've never had a problem with any of these features, which is great. My only complaint is the monthly fee ($12.00, which seems kind of high) and the fees incurred by withdrawals from other banks' ATMs; however, this issue is avoidable most of the time. Overall, the customer service and convenience of mobile/web features has given me a pleasant experience with the institution, despite some of the fees.",2018-02-26
48,Closed Checking Account,31905,772,Bank of America,48123,1,"Without a reason. They gave me a number to call 8772406886. They said I did something suspicious. I did nothing more I did with other banks (unfunded check return - third party action). The bank made me, a customer, a victim. Poor service. Disgusting.",2018-02-13
49,Online banking with bank of america,31451,772,Bank of America,47508,5,"I have been using this service for years now and I can say that I am still very satisfied. I really enjoy there identity theft protection. Every time in the last few years I will always receive a phone call if there is anything out of the ordinary as far as my shopping habits. Granted, I understand that it could be a little scary that they know my spending habits; however, I would rather them knowing me as a person and how I spend, as opposed to not keeping up with how I manage my funds and the places I shop.",2018-02-03
50,The service has gotten worse.,31386,772,Bank of America,47400,4,I used to love this bank because they had great customer service and you could get a representative on chat. However within the past year you can never get anyone on chat and when you call customer service the hold time is very long .So that makes it very frustrating to get help when you need it . I wish they had better service and then I would be much happier,2018-01-29
51,Terrible Service,31515,772,Bank of America,47617,1,"I have been cashing mine and my boyfriends check for over a year now through BofA without any problems at all, tried to do the same for a friend who needed help and the check cleared half as if everything were normal and then the entire check is taken back out of the account, multiple overdraft charges and an embarrassing encounter trying to buy food and getting declined (and being unable to buy food for two days was another nice ancillary detriment) is leading me to close my account and let everyone and anyone I can know how downright awful this bank is. Do not bank with them.",2018-01-26
52,Love the online capabilities,31331,772,Bank of America,47322,5,"I love the idea of being able to track my expenses, not only on the web page but on my phone. I'm able to create a budget at the same time that I receive different tips and tricks to maximize my savings. Before using this I had to use different apps or link my account to another app. They have always being very kind when I need some help, additionally, getting new products has always been really simple. Considering the products, my savings and checking account are pretty straightforward, not sure if other banks has this but it transfers every week a certain amount of money from checking to savings, making Saving money something really simple. <br/>Oh, I've had some issues with duplicated cards, they've been really helpful. Immediately, without many questions I've gotten my money back.",2018-01-23
53,Banking Experience,31048,772,Bank of America,46698,5,"Bank of America provides a very easy user friendly experience. The ease of access makes it simple to open deposit accounts and/or for business. The customer service department is knowledgeable and ready to help customers with any questions they may have regarding their accounts including, transactions, transfers and other financial aspects of the account/s in question. Bank of America is a proven leader in the banking system most would say. The mobile platform offered by this bank is easy to use and secure. Without many fees and the ability to avoid fees for such things as maintenance, by doing simple tasks during the month which most customers do on a regular basis anyway makes saving on fees seem even more rewarding many may say.",2018-01-12
54,A good bank to bank with,31042,772,Bank of America,46692,4,I have been a loyal customer of Bank of America for over 8years. I have a merchant account associated with bank of america . They proved them self to be a great bank. Whenever i had a missing transaction or any problem i will just call them .There customer support so good and i'm glad that they respond quickly,2018-01-12
55,Bank experience,30934,772,Bank of America,46474,4,Very easy to work with. Reasonable and good interest rates. Their customer service is very good too. Never had to wait for a long period of time while on the phone and got the answers I was looking for right away.,2018-01-02
